oktmo,column,p,P
1000000000,pasta,1,2
1000000000,legumes,1,2
1000000000,bread,1,2
1000000000,flour,1,2
1000000000,rice,1,2
1000000000,groats,1,2
1000000000,potatoes,1,2
1000000000,сucumbers_tomatoes,1,2
1000000000,vegetables,1,2
1000000000,roots,1,2
1000000000,сabbage,1,2
1000000000,fruit,0,0
1000000000,sugar,1,2
1000000000,candy,1,2
1000000000,biscuits,1,2
1000000000,mutton,-1,-1
1000000000,beef,1,2
1000000000,chicken,1,2
1000000000,pork,1,2
1000000000,fish,1,2
1000000000,herring,0,0
1000000000,curd,1,2
1000000000,sour_creame,1,2
1000000000,butter,1,2
1000000000,milk_kefir,1,2
1000000000,cheese,1,2
1000000000,egg,1,2
1000000000,margarine,1,2
1000000000,oil,1,2
1000000000,salt,1,2
1000000000,spice,1,2
1000000000,tea,1,2
1000000000,cpi_1,1,2
1000000000,cpi_2,1,2
1000000000,cpi_3,1,2
1000000000,pasta_value,1,2
1000000000,legumes_value,1,2
1000000000,bread_value,1,2
1000000000,flour_value,1,2
1000000000,rice_value,1,2
1000000000,groats_value,1,2
1000000000,potatoes_value,1,2
1000000000,сucumbers_tomatoes_value,1,2
1000000000,vegetables_value,1,2
1000000000,roots_value,1,2
1000000000,сabbage_value,1,2
1000000000,fruit_value,1,2
1000000000,sugar_value,1,2
1000000000,candy_value,1,2
1000000000,biscuits_value,1,2
1000000000,mutton_value,-1,-1
1000000000,beef_value,1,2
1000000000,chicken_value,1,2
1000000000,pork_value,1,2
1000000000,fish_value,1,2
1000000000,herring_value,1,2
1000000000,curd_value,1,2
1000000000,sour_creame_value,1,2
1000000000,butter_value,1,2
1000000000,milk_kefir_value,1,2
1000000000,cheese_value,1,2
1000000000,egg_value,1,2
1000000000,margarine_value,1,2
1000000000,oil_value,1,2
1000000000,salt_value,1,2
1000000000,spice_value,1,2
1000000000,tea_value,1,2
1000000000,ai92,1,2
1000000000,ai95,1,2
1000000000,ai98,-1,-1
1000000000,dt,1,2
1000000000,ai92_value,1,2
1000000000,ai95_value,1,2
1000000000,ai98_value,-1,-1
1000000000,dt_value,1,2
3000000000,pasta,1,2
3000000000,legumes,1,2
3000000000,bread,1,2
3000000000,flour,1,2
3000000000,rice,1,2
3000000000,groats,1,2
3000000000,potatoes,1,2
3000000000,сucumbers_tomatoes,1,2
3000000000,vegetables,1,2
3000000000,roots,1,2
3000000000,сabbage,1,2
3000000000,fruit,1,2
3000000000,sugar,1,2
3000000000,candy,1,2
3000000000,biscuits,1,2
3000000000,mutton,0,0
3000000000,beef,1,2
