oktmo;date;pasta;legumes;bread;flour;rice;groats;potatoes;сucumbers_tomatoes;vegetables;roots;сabbage;fruit;sugar;candy;biscuits;mutton;beef;chicken;pork;fish;herring;curd;sour_creame;butter;milk_kefir;cheese;egg;margarine;oil;salt;spice;tea;cpi_1;cpi_2;cpi_3;pasta_value;legumes_value;bread_value;flour_value;rice_value;groats_value;potatoes_value;сucumbers_tomatoes_value;vegetables_value;roots_value;сabbage_value;fruit_value;sugar_value;candy_value;biscuits_value;mutton_value;beef_value;chicken_value;pork_value;fish_value;herring_value;curd_value;sour_creame_value;butter_value;milk_kefir_value;cheese_value;egg_value;margarine_value;oil_value;salt_value;spice_value;tea_value;ai92;ai95;ai98;dt;ai92_value;ai95_value;ai98_value;dt_value
82000000000;01.01.2019;78,65;0;46,81;34,74;65,84;55,26;25,26;125;23,23;29,04;0;86,6;50,92;306,41;187,41;0;0;198,35;0;0;0;236,13;203,33;500,02;68,09;446,39;7,2;0;93,4;0;50,72;128,73;5 352,12;4 616,50;5 494,61;418,81;0;1 587,72;589,29;231,84;322,93;627,23;339,32;264,18;156,77;0;1 840,50;211,55;686,69;384,94;0;0;855,43;0;0;0;142,28;136,23;79,9;1 341,58;137,76;5 706,00;0;354,2;0;401,96;774,5;43,61;45,83;0;41,5;3 155,40;1 311,98;0;24,09
82000000000;02.01.2019;89,47;86,67;42,97;35,49;63,93;47,8;24,97;124,66;24,33;28,38;28,24;86,2;58,21;301,96;203,52;0;0;201,25;0;0;0;248;201;428,71;72,49;409,3;7,35;0;105,45;14,74;44,24;105,48;5 367,28;4 637,72;5 511,52;944,95;225,88;4 002,66;1 073,40;363,78;1 112,07;748,2;640,65;271,24;284,02;634,4;2 980,30;458,69;1 231,96;805,99;0;0;1 185,71;0;0;0;503,28;315,56;285,59;3 391,03;366,92;9 623,00;0;696,39;219,11;1 168,82;1 521,00;43,22;45,87;0;43,59;5 916,73;2 306,62;0;455,79
82000000000;03.01.2019;52,41;71,43;48,31;35,98;63,71;48,46;24,53;121,38;23,54;27,29;26,71;87,1;53,19;232,85;155,69;0;0;181,46;0;0;0;240,88;188,66;448,19;68,96;386,79;6,95;0;99,85;18,98;35,09;97,89;5 140,19;4 423,42;5 269,89;2 189,09;492,54;4 670,32;1 037,23;508,17;1 106,83;956,29;794,9;333,68;369,9;496,89;2 798,90;525,56;1 832,14;1 067,84;0;0;2 223,81;0;0;0;523,83;388,09;253,59;3 261,20;453,93;13 099,00;0;973,89;458,6;2 056,44;2 128,52;43,65;45,91;0;46,7;9 423,70;3 837,95;0;213
82000000000;04.01.2019;70,69;81,87;41,91;35,31;64,37;47,9;24,63;116,27;23,49;28,1;28,09;80,7;53,79;225,51;157,8;0;403,87;174,59;0;0;0;238,81;192,85;464,61;67,94;407,42;6,91;0;86,27;22,17;33,61;83,17;5 126,86;4 424,99;5 260,90;2 112,99;651,62;5 788,76;1 081,43;524,95;1 354,01;1 064,01;716;413,1;426,81;543,12;3 110,40;604,44;1 912,75;1 150,64;0;811,88;2 526,19;0;0;0;529;389,42;273,4;3 244,90;495,41;14 869,00;0;2 929,48;364,51;2 450,59;6 317,40;43,41;45,94;0;40,42;5 613,39;3 132,04;0;558,02
82000000000;05.01.2019;65,54;73,49;47,04;35,83;82,48;46,6;24,77;120,83;23,67;30,51;28,36;86,4;51,68;236,91;195,36;0;381,14;177,75;0;0;0;245,9;194,8;382,21;67,18;401,82;6,86;0;110,83;18,85;38,81;112,37;5 201,99;4 480,26;5 323,54;1 883,77;381,7;5 217,05;898,68;545,39;1 253,33;796,81;674,57;443,37;400,92;399,73;2 652,50;694,76;1 599,78;1 037,60;0;584,09;2 371,44;0;0;0;520,63;424;417,05;3 731,50;502,75;14 322,00;0;846,72;219,74;2 178,99;2 053,62;42,56;45,85;0;39,91;6 773,07;2 247,20;0;1 141,42
82000000000;06.01.2019;68,57;68,62;44,79;35,58;66,22;49,08;25;123,59;24,35;28,98;28,1;82,1;51,99;246,52;216,35;0;394,51;175,83;0;0;0;241,52;188,78;477,46;66,81;403,69;6,84;0;119,91;15,56;46,68;100,03;5 186,34;4 473,46;5 319,28;1 673,24;452,47;4 971,96;1 033,78;452,18;1 213,47;767,99;666,34;423,91;401,24;480,2;3 299,20;619,97;1 482,04;917,46;0;689,12;2 098,75;0;0;0;489,01;438,95;304,27;3 818,97;513,39;15 665,00;0;887,43;239,52;2 454,00;1 747,30;43,68;45,92;0;45,02;7 086,07;2 785,82;0;880,84
82000000000;07.01.2019;67,5;84,37;45,95;35,93;66,62;50,22;25,2;121,84;24,29;29,18;28,22;79,2;48,61;240,16;191,58;0;383,71;172,41;0;0;0;234,75;186,7;453,43;66,18;410,22;6,84;0;96,14;19,51;49,22;84,45;5 121,93;4 413,48;5 232,94;1 653,96;474,79;4 997,02;972,91;511,85;1 314,63;996,25;895,82;444,53;403,74;411,23;3 421,50;628,74;1 504,72;1 077,91;0;747,31;2 307,41;0;0;0;509,59;456,83;309,67;4 107,53;531,04;17 910,00;0;1 066,47;330,65;2 154,44;4 066,93;43,48;45,91;0;41,39;6 489,19;3 088,43;0;756,13
82000000000;08.01.2019;62,23;75,8;53,51;35,94;67,34;42,47;25,11;124,4;25,33;28,4;27,73;80;56,68;223,85;153,18;0;388,28;180,1;0;0;0;240,79;195,35;471,09;65,51;407,43;6,83;0;103,44;20,89;34,14;79,83;5 246,83;4 513,12;5 308,50;2 029,93;455,94;4 638,72;1 337,97;574,83;1 566,95;1 054,87;751,78;470,08;429,66;413,19;3 193,50;554,08;1 435,24;1 191,11;0;614,48;2 502,88;0;0;0;706,19;423,65;334,65;3 945,23;446,67;16 658,00;0;1 571,48;314,34;2 219,71;2 389,15;43,19;45,85;0;41,96;8 011,67;3 619,70;0;953,69
82000000000;09.01.2019;57,84;72,13;39,7;38,4;77,68;48,47;25,29;125,46;23,85;30,4;28,83;81,9;46,84;245,62;130,48;0;378,46;180,41;0;0;0;245,3;202,32;467,81;66,76;400,48;6,74;0;109,66;26,24;41,67;83,4;5 097,83;4 400,87;5 244,57;6 846,13;379,46;5 643,02;4 433,70;937,87;2 555,57;998,22;681,4;515,2;506,9;382,35;3 073,40;603,95;1 284,25;1 550,19;0;741,59;2 341,28;0;0;0;707,68;410,36;306,93;3 608,58;452,88;16 192,00;0;763,16;177,16;2 669,28;2 041,74;43,26;45,83;0;40,56;7 539,46;3 725,12;0;1 008,39
82000000000;10.01.2019;59,57;75,99;43,1;35,34;71,93;50,71;25,16;125,05;23,58;30,01;28,76;81,2;52,39;232,16;142,75;0;313,36;174,83;0;0;0;242,03;206,2;466,49;68,53;404,66;6,87;0;150,18;18,16;33,97;81,89;5 086,97;4 383,80;5 198,37;9 780,68;409,2;5 285,24;2 798,61;1 109,67;3 217,63;953,65;776,87;477,92;438,07;518,16;3 127,40;596,37;1 473,48;2 036,61;0;311,44;2 858,66;0;0;0;651,45;433,65;349,97;3 464,50;506,11;14 142,00;0;789,08;231,01;2 282,78;2 123,18;43,89;45,93;0;40,02;7 323,87;3 152,15;0;1 354,15
